catg,subcatg,entity,count,TA_score
Cocinas,Mantenimiento y Limpieza,2-propanol,2,65.25
Barras de sonido,Integración de Sonido Inteligente,32 bits,1,26.77
Barras de sonido,Asistentes de Voz Integrados,5g,1,31.2
Aspiradoras,Marcas Destacadas de Aspiradoras,a la parrilla,1,78.44
Cocinas,Diseño y Distribución,abrelatas,3,49.84
Aspiradoras,Marcas Destacadas de Aspiradoras,acari,28,48.8
Cafeteras y hervidores,Tipos de Cafeteras,aceite,48,60.62
Cocinas,Equipamiento y Accesorios,aceite de oliva,13,66.75
Cafeteras y hervidores,Tipos de Cafeteras,aceite esencial,1,59.4
Cocinas,Equipamiento y Accesorios,aceite vegetal,7,62.28
Aspiradoras,Tipología de Aspiradoras,acero,56,53.6
Batidoras,Equipos de Cocina,acero inoxidable,43,48.0
Aires acondicionados,Tecnología Inverter,acondicionamiento de aire,37,67.56
Altavoces,Opciones de Potencia y Rendimiento,acústica,1,53.4
Cocinas,Renovación y Decoración,adhesivo,4,61.12
Cocinas,Renovación y Decoración,adhesión,4,58.9
Barras de sonido,Asistentes de Voz Integrados,advanced audio coding,1,43.4
Aspiradoras,Marcas Destacadas de Aspiradoras,aeg,20,38.72
Aspiradoras,Marcas Destacadas de Aspiradoras,aerodinámica,2,46.8
Aspiradoras,Accesorios y Recambios,aerosol,1,49.62
Cocina al vapor,Recetas de Alimentos al Vapor,afición,12,42.47
Aspiradoras,Marcas Destacadas de Aspiradoras,agadir,1,51.56
Cocinas,Mantenimiento y Limpieza,agente biológico patógeno,9,58.47
Cocinas,Equipamiento y Accesorios,agua,129,63.25
Cafeteras y hervidores,Mantenimiento y Limpieza,agua destilada,13,51.0
Cafeteras y hervidores,Métodos de Preparación,agua mineral,3,46.2
Aspiradoras,Marcas Destacadas de Aspiradoras,agustín de hipona,1,48.1
Aires acondicionados,Tecnología Inverter,ahorro,16,50.2
Aspiradoras,Marcas Destacadas de Aspiradoras,aire,91,44.38
Aspiradoras,Aspiradoras para Mascotas,aislamiento eléctrico,6,61.1
Cocinas,Equipamiento y Accesorios,albacete,1,36.2
Cocinas,Renovación y Decoración,albañilería,2,37.47
Cocinas,Mantenimiento y Limpieza,alcohol,8,68.4
Cafeteras y hervidores,Tipos de Cafeteras,alemania,1,34.22
Aspiradoras,Marcas Destacadas de Aspiradoras,alergia,15,54.1
Cuidado del aire,Mantenimiento del Aire,alfiler,1,43.1
Aspiradoras,Aspiradoras para Mascotas,alfombra,6,52.8
Cuidado del aire,Control de Humedad,algodón,2,57.12
Aspiradoras,Tipología de Aspiradoras,aliados (segunda guerra mundial),4,45.25
Cocinas,Equipamiento y Accesorios,alicante,1,43.38
Aspiradoras,Aspiradoras para Mascotas,alimentación,5,36.28
