catg,subcatg,impressions,clics,priority
Seguros,Seguros y Coberturas,1428437,33390,TRUE
Salud,Salud Pancreática,680418,23998,
Salud,Remedios Naturales y Alternativos,188574,18867,
Hogar,Coberturas y Responsabilidades,250972,15669,TRUE
Mascotas,Tratamientos Dermatológicos Caninos,132732,13886,
Mascotas,Remedios Naturales para Dermatitis,82868,11655,
Salud,Medicina Preventiva,522290,9776,TRUE
Seguros,Cancelación y Baja de Seguros,93097,9289,TRUE
Seguros,Consultas y Atención al Cliente,164425,8922,TRUE
Salud,Patologías Cardiovasculares,191318,7587,
Salud,Trastornos Endocrinos,425030,7273,
Hogar,Control de Plagas y Avispas,223486,6945,
Seguros,Aspectos Legales y Normativos,244080,6913,TRUE
Mascotas,Cuidado y Mantenimiento de la Piel,137815,6364,
Salud,Salud Digestiva,378861,6139,
Viajes,Seguros de Viaje,111935,5758,
Hogar,Normativas y Regulaciones Vecinales,50078,4935,
Motor,Gestión de Seguros Automovilísticos,116500,4915,TRUE
Seguros,Préstamos y Financiación,158550,4646,
Motor,Mantenimiento y Reemplazo de Embragues,160861,4040,
Mascotas,Alergias y Sensibilidades Cutáneas,135800,3787,
Motor,Trámites de Baja de Vehículos,95714,3776,
Seguros,Riesgos y Responsabilidades,108260,3258,TRUE
Seguros,Usufructo y Propiedad,123386,2982,
Salud,Salud Mental y Emocional,194095,2908,
Salud,Salud Respiratoria,174390,2864,
Motor,Normativas de Circulación y Licencias,240861,2768,TRUE
Seguros,Impuestos y Deducciones,108205,2740,
Mascotas,Suplementos Nutricionales para Mascotas,93774,2667,
Motor,Problemas Comunes en Vehículos,120097,2603,TRUE
Seguros,Gestión de Avispas,117732,2527,
Salud,Síndromes Neurológicos,52791,2310,
Motor,Aspectos Legales de la Propiedad Vehicular,314756,2286,TRUE
Mascotas,Desparasitantes y Salud Intestinal,186431,2284,
Mascotas,Enfermedades Dermatológicas en Perros,94596,2125,
Seguros,Seguros y Coberturas,55487,2051,TRUE
Seguros,Normativas de Convivencia,62780,1853,
Seguros,Aspectos de Usufructo,150275,1779,
Seguros,Accidentes y Responsabilidades,269091,1746,TRUE
Hogar,Daños y Filtraciones,25994,1734,TRUE
Mascotas,Comportamiento y Bienestar Animal,151031,1706,
Seguros,Multas y Sanciones,35781,1420,TRUE
Motor,Requisitos para Conducir sin Licencia,103639,1363,
Seguros,Germinación y Alimentación,83339,1267,
Seguros,Conceptos Jurídicos Fundamentales,134344,1163,
Salud,Salud Infantil,94828,1157,
Motor,Seguros de Responsabilidad Civil,49870,1027,TRUE
Hogar,Reparaciones y Mantenimiento,51502,1024,TRUE
Hogar,Alquiler y Derechos del Inquilino,30262,932,TRUE
Hogar,Humedades y Estructuras,13209,841,TRUE
Motor,Robos y Vandalismo en Vehículos,23980,839,TRUE
Seguros,Problemas Vecinales,29894,825,
Hogar,Electrodomésticos y Averías,19125,711,TRUE
Seguros,Salud y Bienestar,37794,692,TRUE
Viajes,Anulación de Viajes,3569,587,
Deportes con armas,Caza y Conservación,37955,477,
Seguros,Educación y Seguro Escolar,12671,471,
Seguros,Derechos de Propiedad,18752,456,
Mascotas,Terapias Alternativas para Mascotas,81554,454,
Motor,Seguros para Motocicletas y Ciclomotores,23159,391,TRUE
Hogar,Seguridad y Cerraduras,12167,366,
Deportes con armas,Actividades de Tiro,8912,251,
Seguros,Seguro Escolar,1631,172,
Deportes con armas,Armas y Equipamiento,3678,121,
Viajes,Alquiler de Vehículos,17171,113,
Deportes con armas,Regulaciones de Caza,2440,98,
Viajes,Requisitos de Viaje,4693,94,
Viajes,Viajes Organizados,46477,93,
Deportes con armas,Perros de Caza,12079,84,
Viajes,Cancelación de Reservas,830,47,
Mascotas,Prevención y Manejo de Parásitos,9333,42,
Viajes,Cobertura Médica Internacional,1454,38,TRUE
Deportes con armas,Tipologías de Caza,5003,22,
Viajes,Viajes Especiales,5606,16,
Viajes,Asistencia en Viaje,2019,15,
Deportes con armas,Formación y Licencias,673,11,
Noticias,Delitos y Vandalismo,3647,9,
Seguros,Riesgos y Responsibilities,1263,7,
Hogar,Servicios de Manitas y Asistencia,24,6,
